"FileName","FilePath","Hash"
"ActionCenterCPL.dll","C:\Windows\system32\ActionCenterCPL.dll","0933542FBC43948350F8E0724267AA80332D1C77BCBA1E29D89A57C080499CA8"
"ActionQueue.dll","C:\Windows\system32\ActionQueue.dll","B6C420A189B37BEA5E4B59848EE82CC612263BCD4D30B92A42ADD31D6528E5BF"
"ActivationClient.dll","C:\Windows\system32\ActivationClient.dll","CABE6C3511DD39234824180877E68B4E829DE9CB3F954711AAF3F16AAA1BFC4C"
"ActivationManager.dll","C:\Windows\system32\ActivationManager.dll","12B278862C52C203C982BDCAC45ACB73E82C31D4CF50E9870CE75E216B420ADD"
"activeds.dll","C:\Windows\system32\activeds.dll","A63BCE98EFA272F2D9CF075A5A12E1D296D37468F488141C68E98903BD2D80EF"
"activeds.tlb","C:\Windows\system32\activeds.tlb","1C52AA91AA14197B27FE0F1686B36A9DCE71845C04987419A890F2CAE3DCFBD3"
"ActiveHours.png","C:\Windows\system32\ActiveHours.png","6780CA70605A2C7A6805CB7B58F7FAC8E666AE6C22E266E71761C8722A5030B4"
"actxprxy.dll","C:\Windows\system32\actxprxy.dll","C13CCFBDEBBB71EE3E4F8A948D061401A1BD404AF4B37EE748B0E34B05EBE052"
"AcWinRT.dll","C:\Windows\system32\AcWinRT.dll","77FC74217DD53124A178F80CC9FEB2F115B536D0D6840D78E479A0F61670E124"
"AcXtrnal.dll","C:\Windows\system32\AcXtrnal.dll","5609453BE4B6316573E4503DCEFE195127896A357C8FF6E998CA3BF4BD6C56E5"
"AdaptiveCards.dll","C:\Windows\system32\AdaptiveCards.dll","AB0C3D77786B47F720ACEE3D646C18ADD3A56189B4FB09845E752CB5FA305DA6"
"AddressParser.dll","C:\Windows\system32\AddressParser.dll","EFE29DDCDEBE17D0A810F826F50E177FD355ED0C1E1F1503707A431F12B4CA7F"
"adhapi.dll","C:\Windows\system32\adhapi.dll","EF1E519D344A0F33EBEB504BCDE4D0531AF326C21F9BB9630B051ACB3FD753BD"
"adhsvc.dll","C:\Windows\system32\adhsvc.dll","50066CD76BDA00DB53845D21E2CAB7383648958339D5A57704A46F64A9347521"
"AdmTmpl.dll","C:\Windows\system32\AdmTmpl.dll","71CF83C930BBF1CE3F5F97B163F32CF8A6F9B7737CFAB23C90C73338725FC0F1"
"adprovider.dll","C:\Windows\system32\adprovider.dll","09752D3DD9BE473C2E7AC619DF51BCCB1C99FAE9545DC1AEE74F3988E0B9A1BE"
"adrclient.dll","C:\Windows\system32\adrclient.dll","5803B77083881A9BB6485960AD4930BCF8578A6383A4FC01EF169D4537AA2D50"
"adsldp.dll","C:\Windows\system32\adsldp.dll","66E4633C8D8D8ECC29558B59BF4A73AFE49604D4ABEE4EB09D78E49C7C586F4E"
"adsldpc.dll","C:\Windows\system32\adsldpc.dll","ED87777376F34D9F8805F00ED98AA631D785DAEF2539AC6CD9C73A5883589953"
"adsmsext.dll","C:\Windows\system32\adsmsext.dll","083C432C91B9C1535F63FC2AAE52BA0D2D62DD7FE69D1890193728AC0862C6C5"
