"FileName","FilePath","Hash"
"acppage.dll","C:\Windows\system32\acppage.dll","7778C66B7A52BB0DD65EE0927262B56501C9BB7EDD0FDDC00A8926413AE73AE3"
"acproxy.dll","C:\Windows\system32\acproxy.dll","B8AF48FC5DC8371D6B00B16029E9AB9027E2DA86FA6D8DBDA181DF464226A3A8"
"AcSpecfc.dll","C:\Windows\system32\AcSpecfc.dll","267E40D9CAB77A1791A2E113E01D8AAF3195390937E58B47BF24E7154C44C7CA"
"ActionCenter.dll","C:\Windows\system32\ActionCenter.dll","8FB517E53339EBB5A6115B4486FD6C651912EFBD67735FB53813D053DF6110AA"
"ActionCenterCPL.dll","C:\Windows\system32\ActionCenterCPL.dll","CC19E94C98827DD2AA43BDCF7F23C7AA063AB035B10E5D6F29D3B14B68C43AA8"
"ActionQueue.dll","C:\Windows\system32\ActionQueue.dll","9845F0859A6067514627CF7EB8A8E5394FEC67C70E52455BBA0E9D85B1CD08B7"
"ActivationClient.dll","C:\Windows\system32\ActivationClient.dll","51DDCAEB8C77610F06C7D72FEFA7072A85B625A893191D399AC768CD989363C3"
"ActivationManager.dll","C:\Windows\system32\ActivationManager.dll","2F0DC21E1F498C92C5D818D5650E87CD41078E94E0272D0047CC4313C17A8344"
"activeds.dll","C:\Windows\system32\activeds.dll","2BAEFE84E5F549BDA4E7AD8769417C99B501943E9E164B5A0425AC51293C2A06"
"activeds.tlb","C:\Windows\system32\activeds.tlb","7784F581D24A076A61322461EE0B6BA3E60E9B945290F7B823D7A676037AB233"
"ActiveHours.png","C:\Windows\system32\ActiveHours.png","6780CA70605A2C7A6805CB7B58F7FAC8E666AE6C22E266E71761C8722A5030B4"
"ActiveSyncCsp.dll","C:\Windows\system32\ActiveSyncCsp.dll","FEEC85F1CE842C8F2754AE5AF9EED3EB5148F7FEA8B5C4730B7AD91DEFBAC364"
"ActiveSyncProvider.dll","C:\Windows\system32\ActiveSyncProvider.dll","770F8744CF005B6B0E6E2BFE0295441443E104CA552E4452A171E9039F52AE06"
"actxprxy.dll","C:\Windows\system32\actxprxy.dll","7DEB6B70769F3CD0173088F4FDF9F356C761430539541806657518A3BF6A0DC3"
"AcWinRT.dll","C:\Windows\system32\AcWinRT.dll","F8F4A74276B47C4C73F78CD1C20D0BA500B8BACAABADD4FB8C464CD3B136F1C3"
"AcXtrnal.dll","C:\Windows\system32\AcXtrnal.dll","9C7DCF9DCBE06397223E7E6732BE55CCF87DD5939CF4A7DE8470B89C585EA93A"
"AdaptiveCards.dll","C:\Windows\system32\AdaptiveCards.dll","DFCF65EC46067E5DD1A26C3CA18CAC656EB89A697AB7D98EEDA0CB1EC99A533F"
"AddressParser.dll","C:\Windows\system32\AddressParser.dll","BADCD79D596A18C6CD3367433CE242F3A7CC6E8BC705FF7C7E9610A3DAC28830"
"adhapi.dll","C:\Windows\system32\adhapi.dll","89A363B639B6542E78171A9153C152513EEE92D0D2549A17E25CF9828DC6F030"
"adhsvc.dll","C:\Windows\system32\adhsvc.dll","20DD040CE2A83457205A25D2B22E09452A45F7FBB340AAEB69E030440BF46BA1"
"AdmTmpl.dll","C:\Windows\system32\AdmTmpl.dll","7BCE71DA9A26782B26C1B8ED9EB257DD9E64168F6F9271E7FF85618EDC25CAA8"
"adprovider.dll","C:\Windows\system32\adprovider.dll","7405DAEB8BD76BF905CD0ED4E5FDE151F3024FBB2058289F393A8C78396C6E22"
"adrclient.dll","C:\Windows\system32\adrclient.dll","B65421C05B896C9AC6F4E8B4B19381F25FDD5DDB14C3A32C4978E12D90138BD8"
"adsldp.dll","C:\Windows\system32\adsldp.dll","E830A352F64420C709C22DE9B86BED977F4A6CADF7E1EA914CEE124E84EA44C9"
"adsldpc.dll","C:\Windows\system32\adsldpc.dll","AE3B8CBBE61B0A8DA07D26A8E56D3BEBFE4765D4BACCC76B670A1DDA9FDB8F41"
"adsmsext.dll","C:\Windows\system32\adsmsext.dll","BF93D794EEB71474D8D0BF0D3912479560685C32146AD41DFC5E0E288FB6E857"
"adsnt.dll","C:\Windows\system32\adsnt.dll","35EBCCE82CA6FD7ECCE0D0A48251D3DDA0E8010D314B9D4046C16D5C6DFA15E6"
"adtschema.dll","C:\Windows\system32\adtschema.dll","81C08D573AF7B2F717DB9079A68619DC5BBE0756AA848DA566614F2FA8015191"
"AdvancedEmojiDS.dll","C:\Windows\system32\AdvancedEmojiDS.dll","577C1CE8CE0FE82D7486FE291028BEE6F782E6AAE78D39CDD31F11061EC9C87F"
"advapi32.dll","C:\Windows\system32\advapi32.dll","3D927DE857F39B2953527100FF7B4AA507E959BF233D03B47299B19DE9755CB6"
"advapi32res.dll","C:\Windows\system32\advapi32res.dll","7588B9C5D6412A759CAD5670C97A3E702419BC7199CB0E28091D6773692A302B"
"advpack.dll","C:\Windows\system32\advpack.dll","65DE1E0484A345413A66CBF16158C8634F6DBA6F0AE15109C7D8EBE131701F89"
"aeevts.dll","C:\Windows\system32\aeevts.dll","CF51B001ACC1810A9231BD4F60D85680B4CF9716C2C3BD499E7A67467BF5E94D"
"aeinv.dll","C:\Windows\system32\aeinv.dll","130E1F0E689B25B56C44D42327AFFA8FB8C409682856085C82B4DF56F054DDEC"
"aemarebackup.dll","C:\Windows\system32\aemarebackup.dll","AB376B6372321D7DA7BB1ECBD1CF78FEB68271B038583C4A16B0FB63B02B9AEF"
"aepic.dll","C:\Windows\system32\aepic.dll","EE380D87B6521BEA8255C39C7E8798AD308CF73F41E0040B4A31D23C212475F4"
"agentactivationruntime.dll","C:\Windows\system32\agentactivationruntime.dll","770C92EEE06107FE52D1B6322A041D9884E0A95DF3CC4979046442B82A6E9367"
